DateTime,GWL(m)
1948-10-01,199.9439330322581
1948-11-01,200.22007199999996
1948-12-01,200.2171223225806
1949-01-01,200.10818090322576
1949-02-01,200.07344142857139
1949-03-01,201.04234374193547
1949-04-01,201.80421919999995
1949-05-01,204.33192232258062
1949-06-01,203.25974079999995
1949-07-01,202.59416903225804
1949-08-01,201.75783716129024
1949-09-01,201.01874959999998
1949-10-01,201.42167225806455
1949-11-01,202.61346319999996
1949-12-01,202.33371251612894
1950-01-01,202.23529161290315
1950-02-01,202.53426599999997
1950-03-01,202.2797334193548
1950-04-01,201.82413279999997
1950-05-01,201.82508980645153
1950-06-01,201.6020352
1950-07-01,200.50215948387086
1950-08-01,199.86089961290315
1950-09-01,200.13452479999992
1950-10-01,199.92461264516118
1950-11-01,199.78441119999994
1950-12-01,199.7250178064516
1951-01-01,199.48471741935484
1951-02-01,199.09906114285712
1951-03-01,198.91415148387088
1951-04-01,198.433944
1951-05-01,198.5293169032257
1951-06-01,198.41728159999985
1951-07-01,196.74436877419348
1951-08-01,195.5853421935483
1951-09-01,196.11746399999993
1951-10-01,196.39640516129026
1951-11-01,196.8338456
1951-12-01,196.97798322580633
1952-01-01,196.74525367741927
1952-02-01,196.47334427586205
1952-03-01,196.4979723870967
1952-04-01,196.6616336
1952-05-01,196.0051796129032
1952-06-01,195.5946304
1952-07-01,194.8249153548387
1952-08-01,193.6323607741935
1952-09-01,195.06681839999996
1952-10-01,195.6388296774193
1952-11-01,195.95470079999987
1952-12-01,197.42849729032253
1953-01-01,198.1876459354838
1953-02-01,197.51148857142852
1953-03-01,196.924889032258
1953-04-01,196.39097119999988
1953-05-01,195.595961032258
1953-06-01,193.79752959999993
1953-07-01,193.56107690322574
1953-08-01,192.95698296774188
1953-09-01,196.63338879999986
1953-10-01,196.27143716129032
1953-11-01,196.89114799999987
1953-12-01,197.04010797022318
1954-01-01,196.89978273945383
1954-02-01,196.13052685714274
1954-03-01,195.1415140645161
1954-04-01,194.4469567999999
1954-05-01,194.47852490322572
1954-06-01,193.2462479999999
1954-07-01,192.60675793548376
1954-08-01,191.82386438709662
1954-09-01,191.76288799999992
1954-10-01,193.02875845161265
1954-11-01,193.70278759999994
1954-12-01,193.84621238709676
1955-01-01,194.24137083870963
1955-02-01,194.4384514285714
1955-03-01,193.86656516129023
1955-04-01,192.81322879999976
1955-05-01,192.57667122580636
1955-06-01,192.03720799999988
1955-07-01,191.11471277419338
1955-08-01,190.76566761290306
1955-09-01,190.90233599999996
1955-10-01,191.012555612903
1955-11-01,191.64929919999986
1955-12-01,192.23323045161285
1956-01-01,192.24561909677405
1956-02-01,192.38870896551714
1956-03-01,191.39227741935466
1956-04-01,190.49999999999994
1956-05-01,190.08114580645153
1956-06-01,188.9813847999999
1956-07-01,188.1500903225806
1956-08-01,187.5349842580645
1956-09-01,188.48821839999988
1956-10-01,188.79056361290316
1956-11-01,190.2381767999999
1956-12-01,190.55447070967736
1957-01-01,190.89732154838686
1957-02-01,190.8141617142856
1957-03-01,191.42246245161283
1957-04-01,192.77665279999985
1957-05-01,195.60107380645152
1957-06-01,197.57064879999993
1957-07-01,193.46924361290314
1957-08-01,191.3089981935483
1957-09-01,192.89247679999988
1957-10-01,196.06505806451602
1957-11-01,198.28560799999997
1957-12-01,199.04846012903218
1958-01-01,200.64807019354836
1958-02-01,202.24818942857138
1958-03-01,204.21295199999997
1958-04-01,203.5208528
1958-05-01,204.26289987096771
1958-06-01,201.86396000000002
1958-07-01,201.63601548387095
1958-08-01,199.3245499354838
1958-09-01,201.73198159999998
1958-10-01,205.52241212903226
1958-11-01,206.9816536
1958-12-01,206.66541212903226
1959-01-01,206.37742529032258
1959-02-01,206.34992657142857
1959-03-01,206.07233032258063
1959-04-01,205.7675336
1959-05-01,205.56439587096776
1959-06-01,203.4116328
1959-07-01,203.29697883870963
1959-08-01,202.5812887741935
1959-09-01,202.96052879999996
1959-10-01,204.71724851612905
1959-11-01,205.3470112
1959-12-01,205.63105858064515
1960-01-01,205.9074433548387
1960-02-01,205.85981793103448
1960-03-01,205.66419329032257
1960-04-01,205.2785328
1960-05-01,205.03896
1960-06-01,202.1127784
1960-07-01,203.00132283870968
1960-08-01,203.18911896774193
1960-09-01,203.4856992
1960-10-01,204.09830787096772
1960-11-01,206.4878776
1960-12-01,206.7582286451613
1961-01-01,207.13480412903218
1961-02-01,207.4195568571428
1961-03-01,206.9215424516129
1961-04-01,205.7452832
1961-05-01,204.10056929032257
1961-06-01,204.2182352
1961-07-01,205.4798384516129
1961-08-01,205.18565729032258
1961-09-01,204.6068552
1961-10-01,205.6352864516129
1961-11-01,205.964536
1961-12-01,205.9572929032258
1962-01-01,205.46685987096774
1962-02-01,204.95296285714286
1962-03-01,204.54331587096775
1962-04-01,204.34360959999998
1962-05-01,203.3582338064516
1962-06-01,202.396852
1962-07-01,199.89609909677418
1962-08-01,197.82906348387098
1962-09-01,199.9234
1962-10-01,200.3911532903225
1962-11-01,201.1802936
1962-12-01,202.73044412903226
1963-01-01,202.3631109677419
1963-02-01,202.01795657142856
1963-03-01,201.82990761290316
1963-04-01,200.8824024
1963-05-01,199.8271749677419
1963-06-01,197.55357999999998
1963-07-01,196.44369832258042
1963-08-01,194.32268361290312
1963-09-01,195.20021919999994
1963-10-01,196.21922787096776
1963-11-01,198.21773919999998
1963-12-01,198.8248745806451
1964-01-01,198.85397806451613
1964-02-01,200.0591586206896
1964-03-01,199.68342735483864
1964-04-01,198.95779359999997
1964-05-01,197.2793419354838
1964-06-01,197.3195952
1964-07-01,195.06256103225803
1964-08-01,194.01837522580644
1964-09-01,194.8331383999999
1964-10-01,196.6632526451613
1964-11-01,198.83506079999998
1964-12-01,198.99811896774187
1965-01-01,198.96301780645157
1965-02-01,200.9749962857142
1965-03-01,201.7130020645161
1965-04-01,202.27025839999993
1965-05-01,203.72497703225807
1965-06-01,204.335888
1965-07-01,200.30423612903218
1965-08-01,198.32569083870968
1965-09-01,197.5273672
1965-10-01,200.1993259354838
1965-11-01,200.9900984
1965-12-01,203.35046632258056
1966-01-01,203.5361976774193
1966-02-01,203.35058571428561
1966-03-01,203.26708877419355
1966-04-01,202.04592559999998
1966-05-01,202.97536567741935
1966-06-01,200.50048799999988
1966-07-01,198.0909948387097
1966-08-01,197.572736516129
1966-09-01,200.06299839999983
1966-10-01,200.52615019354838
1966-11-01,200.1041464
1966-12-01,200.07563612903223
1967-01-01,199.87633625806453
1967-02-01,198.75057832653053
1967-03-01,197.54700409216582
1967-04-01,196.89627879999995
1967-05-01,194.8096753548387
1967-06-01,192.3399759999998
1967-07-01,192.1775798709677
1967-08-01,191.7806516129031
1967-09-01,196.05680879999997
1967-10-01,198.3639383225806
1967-11-01,199.95001919999993
1967-12-01,200.80381316129032
1968-01-01,202.8875636129032
1968-02-01,206.32111696551723
1968-03-01,206.38489780645162
1968-04-01,205.8960576
1968-05-01,206.1534464516129
1968-06-01,204.71475439999995
1968-07-01,204.1653638709676
1968-08-01,201.08826038709674
1968-09-01,202.7485912
1968-10-01,203.1864642580645
1968-11-01,203.3862328
1968-12-01,204.20282477419352
1969-01-01,204.13213083870968
1969-02-01,204.25257599999995
1969-03-01,204.51263922580645
1969-04-01,204.05699599999994
1969-05-01,205.25654787096772
1969-06-01,202.77714079999996
1969-07-01,199.24825161290318
1969-08-01,197.25731767741928
1969-09-01,200.38608639999995
1969-10-01,201.55735741935482
1969-11-01,202.69311759999997
1969-12-01,204.03724954838705
1970-01-01,204.16133264516128
1970-02-01,204.4463417142857
1970-03-01,205.6430539354839
1970-04-01,205.14746879999998
1970-05-01,204.03154683870966
1970-06-01,204.5595096
1970-07-01,201.2958193548386
1970-08-01,199.99520825806448
1970-09-01,199.8687391999999
1970-10-01,202.16971045161276
1970-11-01,202.12761199999994
1970-12-01,201.94406012903218
1971-01-01,201.06289316129025
1971-02-01,199.21434085714284
1971-03-01,197.95924258064505
1971-04-01,196.17425839999996
1971-05-01,194.66327303225808
1971-06-01,192.91625119999995
1971-07-01,193.40857858064516
1971-08-01,197.71117470967744
1971-09-01,199.38979679999997
1971-10-01,201.91643148387087
1971-11-01,203.73400959999995
1971-12-01,205.17946296774187
1972-01-01,205.23245883870968
1972-02-01,204.71208827586207
1972-03-01,202.67715329032256
1972-04-01,199.9195391999999
1972-05-01,204.71862503225805
1972-06-01,204.46532639999995
1972-07-01,202.62750038709672
1972-08-01,203.17515716129023
1972-09-01,202.7736864
1972-10-01,203.4246998709677
1972-11-01,204.603604
1972-12-01,204.97593522580644
1973-01-01,205.0104464516129
1973-02-01,205.42953942857142
1973-03-01,205.81157883870966
1973-04-01,206.73090480000002
1973-05-01,206.803752
1973-06-01,205.507844
1973-07-01,208.7872134193548
1973-08-01,208.16257006451602
1973-09-01,208.6510432
1973-10-01,211.50661935483873
1973-11-01,211.293456
1973-12-01,210.40334167741935
1974-01-01,209.78980877419346
1974-02-01,208.87116685714273
1974-03-01,207.65866683870968
1974-04-01,206.5321752
1974-05-01,207.00727974193546
1974-06-01,204.6820392
1974-07-01,202.86937393548388
1974-08-01,203.95485522580645
1974-09-01,206.96651519999995
1974-10-01,206.764128
1974-11-01,207.73572879999992
1974-12-01,208.08990967741934
1975-01-01,207.9032934193548
1975-02-01,209.04893057142846
1975-03-01,208.29510890322575
1975-04-01,207.58698639999997
1975-05-01,208.31890296774188
1975-06-01,207.88812879999998
1975-07-01,207.01691535483872
1975-08-01,205.96928825806452
1975-09-01,205.8526744
1975-10-01,205.21367922580643
1975-11-01,205.9078432
1975-12-01,205.88010967741937
1976-01-01,205.76054941935485
1976-02-01,203.77971558620686
1976-03-01,203.3484998709677
1976-04-01,204.7445232
1976-05-01,207.7724260645161
1976-06-01,206.20796959999998
1976-07-01,206.34832180645157
1976-08-01,205.4615504516129
1976-09-01,206.20725840000003
1976-10-01,208.48310167741937
1976-11-01,210.9128624
1976-12-01,211.07557316129035
1977-01-01,211.0596449032258
1977-02-01,211.51617771428573
1977-03-01,210.77028154838706
1977-04-01,210.87120639999998
1977-05-01,211.5202861935484
1977-06-01,209.12490559999998
1977-07-01,208.02452516129034
1977-08-01,206.44428464516125
1977-09-01,206.9214048
1977-10-01,207.07030451612903
1977-11-01,208.9790079999999
1977-12-01,208.62842245161286
1978-01-01,208.13179509677414
1978-02-01,207.33584571428568
1978-03-01,206.75606554838708
1978-04-01,206.1701744
1978-05-01,204.3035070967741
1978-06-01,202.88849439999996
1978-07-01,199.0613403870966
1978-08-01,202.4407858064516
1978-09-01,205.26502
1978-10-01,205.6232910967741
1978-11-01,206.2992064
1978-12-01,207.10747045161287
1979-01-01,207.8479378064516
1979-02-01,208.63614428571424
1979-03-01,208.5745416774193
1979-04-01,209.68462
1979-05-01,209.4285716129032
1979-06-01,209.14644479999998
1979-07-01,207.85826167741928
1979-08-01,207.88589032258062
1979-09-01,207.085184
1979-10-01,206.28146245161292
1979-11-01,206.6009584
1979-12-01,206.9515308387097
1980-01-01,206.9417969032258
1980-02-01,206.1361348965517
1980-03-01,204.7727024516129
1980-04-01,203.4025904
1980-05-01,204.21393522580644
1980-06-01,200.25497159999992
1980-07-01,195.84599535483872
1980-08-01,197.72110529032255
1980-09-01,199.95469279999995
1980-10-01,201.41641199999995
1980-11-01,202.50647839999996
1980-12-01,203.8407027096773
1981-01-01,203.97383148387092
1981-02-01,204.1722394285714
1981-03-01,204.3150108387096
1981-04-01,203.49128719999993
1981-05-01,203.5144683870967
1981-06-01,207.12277600000002
1981-07-01,207.66122322580642
1981-08-01,205.3061024516129
1981-09-01,205.93293839999998
1981-10-01,206.38519277419354
1981-11-01,207.4906696
1981-12-01,207.11051845161282
1982-01-01,206.4617860645161
1982-02-01,205.4719937142857
1982-03-01,205.33314116129034
1982-04-01,204.4792456
1982-05-01,206.35618761290323
1982-06-01,203.9325359999999
1982-07-01,200.56823225806448
1982-08-01,198.474649548387
1982-09-01,198.34280879999994
1982-10-01,200.2882095483871
1982-11-01,201.69987600000002
1982-12-01,202.78481651612898
1983-01-01,203.17564877419346
1983-02-01,203.2442322857143
1983-03-01,203.06070967741934
1983-04-01,202.371452
1983-05-01,199.91822167741933
1983-06-01,200.05781679999993
1983-07-01,198.20495070967738
1983-08-01,198.0300348387097
1983-09-01,197.4292215999999
1983-10-01,198.89360206451607
1983-11-01,199.82637199999996
1983-12-01,200.0287362580645
1984-01-01,199.86158787096772
1984-02-01,199.90318510344827
