"DateTime","(mm) Actual ET (TerraClimate) at -98.7092E,29.7839N, 1958-01-01 to 2019-12-31"
"1994-06-01",43.7
"1994-07-01",17
"1994-08-01",71.2
"1994-09-01",106.6
"1994-10-01",96.7
"1994-11-01",54.1
"1994-12-01",58.3
"1995-01-01",38.6
"1995-02-01",51.1
"1995-03-01",68.9
"1995-04-01",86.2
"1995-05-01",151.4
"1995-06-01",113.2
"1995-07-01",35.9
"1995-08-01",54.9
"1995-09-01",100.8
"1995-10-01",21.1
"1995-11-01",46.3
"1995-12-01",25.6
"1996-01-01",3
"1996-02-01",10
"1996-03-01",28.5
"1996-04-01",40.6
"1996-05-01",46.5
"1996-06-01",66.2
"1996-07-01",30.6
"1996-08-01",132.3
"1996-09-01",99.8
"1996-10-01",29.6
"1996-11-01",76.6
"1996-12-01",53.3
"1997-01-01",31.3
"1997-02-01",65.3
"1997-03-01",68.9
"1997-04-01",117.9
"1997-05-01",115.9
"1997-06-01",158.6
"1997-07-01",48.9
"1997-08-01",48.5
"1997-09-01",49.1
"1997-10-01",104.5
"1997-11-01",59.7
"1997-12-01",66
"1998-01-01",53.4
"1998-02-01",73.8
"1998-03-01",100.9
"1998-04-01",52.7
"1998-05-01",29.7
"1998-06-01",49
"1998-07-01",43.1
"1998-08-01",160.5
"1998-09-01",86.3
"1998-10-01",100.9
"1998-11-01",65
"1998-12-01",47.8
"1999-01-01",41.8
"1999-02-01",37.7
"1999-03-01",90.8
"1999-04-01",55.5
"1999-05-01",93.4
"1999-06-01",111.8
"1999-07-01",67.1
"1999-08-01",26.7
"1999-09-01",6.9
"1999-10-01",45.3
"1999-11-01",6.5
"1999-12-01",20.9
"2000-01-01",42.9
"2000-02-01",55.2
"2000-03-01",38.7
"2000-04-01",42.5
"2000-05-01",108.4
"2000-06-01",153
"2000-07-01",9.6
"2000-08-01",19.1
"2000-09-01",60.4
"2000-10-01",101.5
"2000-11-01",65.3
"2000-12-01",55
"2001-01-01",58.4
"2001-02-01",53
"2001-03-01",84.4
"2001-04-01",87.3
"2001-05-01",106.9
"2001-06-01",69.2
"2001-07-01",24.1
"2001-08-01",176.4
"2001-09-01",122.9
"2001-10-01",87.1
"2001-11-01",74.1
"2001-12-01",63.8
"2002-01-01",44.2
"2002-02-01",42.8
"2002-03-01",65.9
"2002-04-01",79.8
"2002-05-01",64.8
"2002-06-01",75.4
"2002-07-01",166.1
"2002-08-01",46.7
"2002-09-01",137.7
"2002-10-01",81.4
"2002-11-01",65.3
"2002-12-01",66.4
"2003-01-01",46.1
"2003-02-01",62.8
"2003-03-01",67.7
"2003-04-01",65.5
"2003-05-01",35.1
"2003-06-01",139.1
"2003-07-01",133.7
"2003-08-01",60.1
"2003-09-01",123
"2003-10-01",76.9
"2003-11-01",33.8
"2003-12-01",18
"2004-01-01",63.1
"2004-02-01",66.4
"2004-03-01",67.3
"2004-04-01",127.4
"2004-05-01",62.4
"2004-06-01",160.6
"2004-07-01",110.6
"2004-08-01",117.1
"2004-09-01",62.9
"2004-10-01",102.7
"2004-11-01",68.4
"2004-12-01",45.9
"2005-01-01",61.5
"2005-02-01",58.7
"2005-03-01",92.4
"2005-04-01",87.8
"2005-05-01",110
"2005-06-01",53.1
"2005-07-01",75.3
"2005-08-01",63.8
"2005-09-01",35.6
"2005-10-01",53.4
"2005-11-01",14.8
"2005-12-01",9.9
"2006-01-01",22.7
"2006-02-01",22.5
"2006-03-01",50.6
"2006-04-01",53.2
"2006-05-01",84.8
"2006-06-01",49.2
"2006-07-01",57
"2006-08-01",10.5
"2006-09-01",87.6
"2006-10-01",82.1
"2006-11-01",21.6
"2006-12-01",60.2
"2007-01-01",50.8
"2007-02-01",26.3
"2007-03-01",110.1
"2007-04-01",75.8
"2007-05-01",138
"2007-06-01",148.3
"2007-07-01",138.6
"2007-08-01",140
"2007-09-01",86.7
"2007-10-01",49.1
"2007-11-01",40.9
"2007-12-01",22
"2008-01-01",22.1
"2008-02-01",13.5
"2008-03-01",50.3
"2008-04-01",36.5
"2008-05-01",41.5
"2008-06-01",11.8
"2008-07-01",57.9
"2008-08-01",135.4
"2008-09-01",8.5
"2008-10-01",32.6
"2008-11-01",9.4
"2008-12-01",9.6
"2009-01-01",13
"2009-02-01",12.2
"2009-03-01",66.1
"2009-04-01",103.2
"2009-05-01",45.9
"2009-06-01",19.5
"2009-07-01",30.4
"2009-08-01",32.6
"2009-09-01",122.8
"2009-10-01",97.6
"2009-11-01",79.1
"2009-12-01",52.3
"2010-01-01",61.8
"2010-02-01",62.6
"2010-03-01",97.5
"2010-04-01",95.8
"2010-05-01",123.5
"2010-06-01",119
"2010-07-01",112.8
"2010-08-01",18.4
"2010-09-01",129.4
"2010-10-01",55.4
"2010-11-01",45.1
"2010-12-01",35.4
"2011-01-01",57.6
"2011-02-01",21.4
"2011-03-01",16.6
"2011-04-01",13.3
"2011-05-01",20.4
"2011-06-01",41.8
"2011-07-01",22.3
"2011-08-01",17.4
"2011-09-01",70.4
"2011-10-01",104
"2011-11-01",46.3
"2011-12-01",56.4
"2012-01-01",71.2
"2012-02-01",65
"2012-03-01",105.1
"2012-04-01",79.4
"2012-05-01",169.6
"2012-06-01",52.6
"2012-07-01",102.4
"2012-08-01",65
"2012-09-01",149
"2012-10-01",69.9
"2012-11-01",22.6
"2012-12-01",19.3
"2013-01-01",65.6
"2013-02-01",16.1
"2013-03-01",28.4
"2013-04-01",65.7
"2013-05-01",172.3
"2013-06-01",88.1
"2013-07-01",46.4
"2013-08-01",38
"2013-09-01",112.3
"2013-10-01",88.5
"2013-11-01",50.5
"2013-12-01",29.3
"2014-01-01",7.6
"2014-02-01",18.3
"2014-03-01",33.7
"2014-04-01",17.7
"2014-05-01",107.9
"2014-06-01",121.3
"2014-07-01",74.1
"2014-08-01",11.9
"2014-09-01",55.1
"2014-10-01",43.6
"2014-11-01",73.7
"2014-12-01",42.2
"2015-01-01",58.7
"2015-02-01",42.3
"2015-03-01",94.2
"2015-04-01",122
"2015-05-01",128.7
"2015-06-01",154.3
"2015-07-01",137.8
"2015-08-01",54.5
"2015-09-01",86.4
"2015-10-01",116.1
"2015-11-01",66.6
"2015-12-01",55.7
"2016-01-01",44.1
"2016-02-01",71.2
"2016-03-01",85.7
"2016-04-01",89.7
"2016-05-01",142.5
"2016-06-01",115.2
"2016-07-01",46.4
"2016-08-01",159.6
"2016-09-01",104.5
"2016-10-01",15.6
"2016-11-01",66.8
"2016-12-01",62.2
"2017-01-01",44.8
"2017-02-01",63.4
"2017-03-01",45
"2017-04-01",59.2
"2017-05-01",128.7
"2017-06-01",83.5
"2017-07-01",39.4
"2017-08-01",56.1
"2017-09-01",87.2
"2017-10-01",27.7
"2017-11-01",15.4
"2017-12-01",61.4
"2018-01-01",8.2
"2018-02-01",48.4
"2018-03-01",87.7
"2018-04-01",12.7
"2018-05-01",31.2
"2018-06-01",34.7
"2018-07-01",92.8
"2018-08-01",21.8
"2018-09-01",115.8
"2018-10-01",90.8
"2018-11-01",51.1
"2018-12-01",69.3
"2019-01-01",48.7
"2019-02-01",45
"2019-03-01",63.7
"2019-04-01",99.6
"2019-05-01",119.5
"2019-06-01",108.5
"2019-07-01",33.4
"2019-08-01",32.8
"2019-09-01",34.8
"2019-10-01",110.4
"2019-11-01",31
"2019-12-01",20.8
